ts,actual_pps,predicted_pps,predicted_pps_avg,actual_replicas,predicted_replicas,replica_match
2026-03-24 18:26:19+00:00,3245.1769422222224,2346.01,0.0,2,1,False
2026-03-24 18:26:25+00:00,3717.887636666667,2477.96,1747.27,2,1,False
2026-03-24 18:26:29+00:00,4775.574633333333,4576.62,4597.57,3,2,False
2026-03-24 18:26:35+00:00,3018.2769777777776,4980.21,4951.49,3,2,False
2026-03-24 18:26:39+00:00,0.0,1975.81,2527.48,3,1,False
2026-03-24 18:26:45+00:00,2088.5886733333336,0.0,0.0,4,1,False
2026-03-24 18:26:49+00:00,2088.6895433333334,4570.12,2981.42,4,1,False
2026-03-24 18:26:55+00:00,0.2642733333333333,0.0,417.7,4,1,False
2026-03-24 18:26:59+00:00,0.3137283333333333,74.9,944.82,4,1,False
2026-03-24 18:27:04+00:00,0.28,1895.15,777.39,4,1,False
2026-03-24 18:27:09+00:00,0.0,0.0,0.0,4,1,False
2026-03-24 18:27:14+00:00,0.0,309.06,391.24,4,1,False
2026-03-24 18:27:19+00:00,0.0,393.48,139.1,4,1,False
2026-03-24 18:27:24+00:00,0.0,0.0,0.0,4,1,False
2026-03-24 18:27:29+00:00,0.0,109.29,87.58,4,1,False
2026-03-24 18:27:34+00:00,0.0,0.0,0.0,4,1,False
2026-03-24 18:27:40+00:00,0.0,0.0,0.0,4,1,False
2026-03-24 18:27:45+00:00,0.0,19.96,12.76,4,1,False
2026-03-24 18:27:50+00:00,0.0,0.0,0.0,4,1,False
2026-03-24 18:27:55+00:00,0.0,2.19,3.09,4,1,False
2026-03-24 18:28:00+00:00,0.0,2.18,0.79,4,1,False
2026-03-24 18:28:05+00:00,0.0,0.0,0.0,4,1,False
2026-03-24 18:28:10+00:00,0.0,1.2,1.07,4,1,False
2026-03-24 18:28:15+00:00,0.0,0.0,0.0,4,1,False
2026-03-24 18:28:20+00:00,0.0,0.0,0.0,4,1,False
2026-03-24 18:28:25+00:00,0.0,0.32,0.23,4,1,False
2026-03-24 18:28:30+00:00,0.0,0.0,0.0,4,1,False
2026-03-24 18:28:35+00:00,0.0,0.23,0.16,4,1,False
2026-03-24 18:28:41+00:00,0.0,0.0,0.0,4,1,False
2026-03-24 18:28:46+00:00,0.0,0.11,0.08,4,1,False
2026-03-24 18:28:51+00:00,0.0,0.0,0.0,4,1,False
2026-03-24 18:28:56+00:00,0.0,0.05,0.04,4,1,False
2026-03-24 18:29:01+00:00,0.0,0.0,0.0,4,1,False
2026-03-24 18:29:06+00:00,0.0,0.03,0.02,4,1,False
2026-03-24 18:29:12+00:00,0.0,0.0,0.0,4,1,False
2026-03-24 18:29:17+00:00,0.0,0.01,0.01,4,1,False
2026-03-24 18:29:23+00:00,0.0,0.0,0.0,4,1,False
2026-03-24 18:29:28+00:00,0.0,0.01,0.0,4,1,False
2026-03-24 18:29:33+00:00,0.0,0.0,0.0,4,1,False
2026-03-24 18:29:38+00:00,0.0,0.0,0.0,4,1,False
2026-03-24 18:29:43+00:00,0.0,0.0,0.0,4,1,False
2026-03-24 18:29:48+00:00,0.0,0.0,0.0,4,1,False
2026-03-24 18:29:53+00:00,0.0,0.0,0.0,4,1,False
2026-03-24 18:29:58+00:00,0.0,0.0,0.0,4,1,False
2026-03-24 18:30:03+00:00,0.0,0.0,0.0,4,1,False
2026-03-24 18:30:08+00:00,0.0,0.0,0.0,4,1,False
2026-03-24 18:30:13+00:00,0.0,0.0,0.0,4,1,False
2026-03-24 18:30:18+00:00,0.0,0.0,0.0,4,1,False
2026-03-24 18:30:23+00:00,0.0,0.0,0.0,4,1,False
2026-03-24 18:30:28+00:00,0.0,0.0,0.0,4,1,False
2026-03-24 18:30:33+00:00,0.0,0.0,0.0,4,1,False
2026-03-24 18:30:38+00:00,0.0,0.0,0.0,4,1,False
2026-03-24 18:30:43+00:00,0.0,0.0,0.0,4,1,False
2026-03-24 18:30:48+00:00,0.0,0.0,0.0,4,1,False
2026-03-24 18:30:53+00:00,0.0,0.0,0.0,4,1,False
2026-03-24 18:30:58+00:00,0.0,0.0,0.0,4,1,False
2026-03-24 18:31:03+00:00,0.0,0.0,0.0,4,1,False
2026-03-24 18:31:08+00:00,0.0,0.0,0.0,4,1,False
2026-03-24 18:31:14+00:00,0.0,0.0,0.0,4,1,False
2026-03-24 18:31:19+00:00,0.0,0.0,0.0,4,1,False
2026-03-24 18:31:25+00:00,0.0,0.0,0.0,4,1,False
2026-03-24 18:31:29+00:00,0.0,0.0,0.0,4,1,False
